"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/02/2023","188,00","187,15","190,00","187,15","0,12K","-1,05%"
"16/02/2023","190,00","190,00","190,00","187,10","0,44K","-1,17%"
"15/02/2023","192,25","187,60","192,50","187,55","1,34K","-2,21%"
"14/02/2023","196,60","191,95","197,00","188,05","1,10K","-1,70%"
"13/02/2023","200,00","200,00","200,00","190,65","1,16K","0,00%"
"10/02/2023","200,00","200,00","200,00","200,00","0,03K","1,01%"
"09/02/2023","198,00","198,00","198,00","198,00","0,43K","0,41%"
"08/02/2023","197,20","198,00","202,90","197,20","0,63K","-5,96%"
"07/02/2023","209,70","197,95","209,70","197,95","0,56K","5,96%"
"06/02/2023","197,90","194,20","197,90","194,20","0,00K","-0,15%"
"03/02/2023","198,20","195,00","198,20","193,55","0,03K","-0,35%"
"02/02/2023","198,90","196,00","199,95","195,95","0,35K","2,90%"
"01/02/2023","193,30","198,00","200,00","193,30","0,43K","-2,37%"
"31/01/2023","198,00","196,00","200,00","196,00","0,29K","-0,95%"
"30/01/2023","199,90","196,00","199,90","196,00","0,25K","-1,94%"
"27/01/2023","203,85","197,50","203,85","197,45","0,25K","0,02%"
"26/01/2023","203,80","192,50","203,80","192,50","0,28K","5,87%"
"25/01/2023","192,50","192,50","192,50","192,50","0,15K","0,26%"
"24/01/2023","192,00","190,25","195,00","190,25","1,37K","-4,00%"
"23/01/2023","200,00","203,95","204,00","195,00","0,43K","-2,22%"
"20/01/2023","204,55","204,60","204,60","204,55","0,24K","-2,53%"
"19/01/2023","209,85","209,90","209,90","208,00","0,26K","1,87%"
"18/01/2023","206,00","191,20","206,00","191,20","2,78K","5,91%"
"17/01/2023","194,50","184,00","196,00","184,00","0,71K","3,18%"
"16/01/2023","188,50","180,00","188,50","180,00","0,76K","5,90%"
"13/01/2023","178,00","184,95","184,95","178,00","1,16K","-3,76%"
"12/01/2023","184,95","180,00","184,95","180,00","0,17K","5,03%"
"10/01/2023","176,10","180,00","180,00","176,10","0,39K","-2,17%"
"09/01/2023","180,00","179,95","182,00","179,95","0,36K","1,15%"
"06/01/2023","177,95","183,45","189,90","177,95","0,52K","-5,60%"
"05/01/2023","188,50","189,30","194,00","188,50","0,27K","-3,33%"
"04/01/2023","195,00","197,50","200,00","195,00","0,70K","-2,50%"
"03/01/2023","200,00","207,00","207,00","200,00","0,27K","-3,85%"
"02/01/2023","208,00","201,95","208,00","201,95","0,04K","-0,95%"
"30/12/2022","210,00","202,00","210,00","200,40","1,01K","1,69%"
"29/12/2022","206,50","206,50","206,50","206,50","0,01K","-0,17%"
"28/12/2022","206,85","206,85","206,85","206,85","0,00K","-0,43%"
"27/12/2022","207,75","201,35","208,00","201,00","0,49K","-0,12%"
"26/12/2022","208,00","208,00","208,00","206,00","0,13K","0,10%"
"23/12/2022","207,80","205,00","207,85","201,25","0,37K","-0,31%"
"22/12/2022","208,45","205,00","208,90","205,00","0,12K","-0,19%"
"21/12/2022","208,85","204,30","209,00","202,00","0,49K","-0,48%"
"20/12/2022","209,85","209,85","209,85","209,85","0,01K","-1,48%"
"19/12/2022","213,00","213,90","215,00","204,20","0,50K","-0,44%"
"16/12/2022","213,95","218,00","219,50","211,00","1,86K","-0,95%"
"15/12/2022","216,00","216,20","217,95","204,15","1,18K","0,47%"
"14/12/2022","215,00","210,00","216,20","204,00","1,43K","5,39%"
"13/12/2022","204,00","196,00","210,00","196,00","3,08K","2,95%"
"12/12/2022","198,15","184,00","198,15","184,00","1,00K","5,99%"
"09/12/2022","186,95","183,75","186,95","183,50","0,31K","-0,51%"
"08/12/2022","187,90","184,75","188,00","182,00","0,54K","2,12%"
"07/12/2022","184,00","184,85","184,85","184,00","0,02K","0,55%"
"06/12/2022","183,00","180,05","183,00","180,05","0,48K","0,55%"
"05/12/2022","182,00","180,00","182,00","180,00","0,33K","0,55%"
"02/12/2022","181,00","178,00","181,00","177,45","0,34K","-0,55%"
"01/12/2022","182,00","180,00","182,00","180,00","0,12K","0,00%"
"30/11/2022","182,00","180,00","182,00","180,00","0,47K","1,11%"
"29/11/2022","180,00","182,00","182,00","180,00","0,57K","-2,70%"
"28/11/2022","185,00","183,10","185,00","183,00","0,20K","-0,54%"
"25/11/2022","186,00","186,00","186,00","186,00","0,06K","0,00%"
"24/11/2022","186,00","182,15","186,00","182,15","0,04K","2,11%"
"23/11/2022","182,15","182,15","182,15","182,15","0,19K","-3,62%"
"17/11/2022","189,00","182,00","189,00","182,00","0,28K","3,85%"
"16/11/2022","182,00","178,80","182,00","175,00","0,46K","1,96%"
"15/11/2022","178,50","175,05","178,85","175,00","0,86K","2,56%"
"14/11/2022","174,05","179,35","179,40","174,05","0,25K","-3,14%"
"11/11/2022","179,70","179,95","180,05","173,00","0,62K","-0,14%"
"10/11/2022","179,95","184,00","184,00","177,00","1,12K","-0,06%"
"09/11/2022","180,05","183,35","183,35","180,05","0,19K","-1,88%"
"08/11/2022","183,50","185,95","186,00","183,50","0,20K","0,14%"
"07/11/2022","183,25","183,30","183,40","182,60","0,53K","0,03%"
"04/11/2022","183,20","189,00","189,00","183,20","0,16K","-0,62%"
"03/11/2022","184,35","184,50","184,50","184,35","0,02K","-2,97%"
"02/11/2022","190,00","189,95","190,00","189,95","0,02K","1,06%"
"01/11/2022","188,00","188,20","188,20","188,00","0,06K","-0,11%"
"31/10/2022","188,20","183,00","188,20","182,70","0,34K","1,18%"
"28/10/2022","186,00","185,15","186,00","185,00","0,35K","0,22%"
"27/10/2022","185,60","189,00","189,00","185,60","0,32K","-2,32%"
"26/10/2022","190,00","187,00","190,00","185,10","0,54K","-1,81%"
"25/10/2022","193,50","193,50","193,50","193,50","0,00K","2,93%"
"24/10/2022","188,00","189,00","189,00","188,00","0,08K","-1,57%"
"21/10/2022","191,00","190,00","191,00","190,00","0,21K","1,87%"
"20/10/2022","187,50","190,15","190,15","187,50","0,17K","-1,32%"
"19/10/2022","190,00","194,90","194,95","190,00","0,36K","-1,55%"
"18/10/2022","193,00","189,05","193,00","189,00","0,10K","2,39%"
"17/10/2022","188,50","190,00","191,00","188,50","1,64K","-1,31%"
"14/10/2022","191,00","197,00","197,00","191,00","1,60K","-3,05%"
"13/10/2022","197,00","199,00","200,00","197,00","0,63K","-0,81%"
"12/10/2022","198,60","198,60","198,60","198,60","0,03K","1,35%"
"11/10/2022","195,95","195,00","195,95","195,00","0,09K","0,49%"
"07/10/2022","195,00","194,00","195,00","194,00","1,15K","0,52%"
"06/10/2022","194,00","195,00","195,00","192,00","1,14K","-0,46%"
"05/10/2022","194,90","190,00","194,95","190,00","0,32K","3,59%"
"04/10/2022","188,15","191,00","196,00","187,00","2,33K","-1,47%"
"03/10/2022","190,95","204,00","208,50","190,95","9,59K","-5,98%"
"30/09/2022","203,10","219,95","219,95","203,10","8,14K","-5,99%"
"29/09/2022","216,05","227,00","227,00","216,05","10,80K","-5,98%"
"28/09/2022","229,80","231,00","231,00","227,00","0,64K","-0,52%"
"27/09/2022","231,00","234,00","234,00","231,00","0,90K","-0,86%"
"26/09/2022","233,00","236,00","239,55","232,00","1,73K","-0,85%"
"23/09/2022","235,00","247,00","247,00","235,00","5,94K","-3,29%"
"22/09/2022","243,00","241,00","245,00","240,00","5,25K","2,10%"
"21/09/2022","238,00","238,95","239,95","238,00","0,65K","0,42%"
"20/09/2022","237,00","236,10","237,00","236,10","0,30K","0,21%"
"19/09/2022","236,50","234,95","239,00","234,95","0,40K","0,98%"
"16/09/2022","234,20","233,20","237,00","230,90","0,95K","-1,56%"
"15/09/2022","237,90","237,95","238,00","232,00","0,71K","-1,08%"
"14/09/2022","240,50","245,15","245,50","240,00","0,52K","-1,05%"
"13/09/2022","243,05","247,00","248,30","243,05","0,72K","-5,79%"
"12/09/2022","258,00","260,00","260,00","258,00","3,16K","-0,77%"
"09/09/2022","260,00","260,00","260,00","259,30","3,40K","-0,38%"
"08/09/2022","261,00","260,00","262,00","259,55","1,26K","0,89%"
"07/09/2022","258,70","260,00","261,95","258,70","2,59K","-0,44%"
"06/09/2022","259,85","260,00","260,00","258,25","1,19K","-0,06%"
"05/09/2022","260,00","258,00","261,00","258,00","0,37K","0,00%"
"02/09/2022","260,00","260,00","262,50","257,55","0,14K","0,02%"
"01/09/2022","259,95","259,80","263,00","255,65","2,92K","0,76%"
"31/08/2022","258,00","257,00","258,00","257,00","0,76K","1,18%"
"30/08/2022","255,00","255,00","259,00","254,95","1,52K","0,79%"
"29/08/2022","253,00","255,00","255,00","253,00","0,33K","-0,78%"
"26/08/2022","255,00","254,90","259,90","253,00","1,72K","1,15%"
"25/08/2022","252,10","252,00","252,10","252,00","0,19K","0,02%"
"24/08/2022","252,05","253,00","253,00","252,00","0,71K","-1,04%"
"23/08/2022","254,70","252,80","254,90","252,00","0,20K","1,47%"
"22/08/2022","251,00","251,10","254,95","251,00","0,70K","-0,04%"
"19/08/2022","251,10","253,50","254,90","251,00","0,62K","-0,75%"
"18/08/2022","253,00","251,70","253,20","251,70","0,96K","-0,75%"
"17/08/2022","254,90","249,40","255,00","249,40","2,13K","2,99%"
"16/08/2022","247,50","249,45","249,45","247,20","0,15K","-1,00%"
"15/08/2022","250,00","245,00","250,00","245,00","0,89K","2,04%"
"12/08/2022","245,00","243,00","245,00","243,00","0,20K","0,41%"
"11/08/2022","244,00","239,00","244,00","238,00","5,21K","2,50%"
"10/08/2022","238,05","240,00","240,00","238,05","0,84K","-0,81%"
"09/08/2022","240,00","237,10","241,45","236,30","1,21K","1,65%"
"08/08/2022","236,10","236,00","240,00","233,20","0,80K","0,47%"
"05/08/2022","235,00","232,50","235,00","230,50","1,37K","-0,42%"
"04/08/2022","236,00","235,40","236,00","233,00","1,18K","0,00%"
"03/08/2022","236,00","239,95","239,95","236,00","0,26K","-1,46%"
"02/08/2022","239,50","235,00","239,50","235,00","0,36K","1,91%"
"01/08/2022","235,00","230,10","235,00","230,00","3,91K","1,29%"
"29/07/2022","232,00","225,05","232,00","225,05","0,73K","2,20%"
"28/07/2022","227,00","229,45","229,85","222,05","6,24K","-0,44%"
"27/07/2022","228,00","223,00","233,00","222,00","8,32K","3,17%"
"26/07/2022","221,00","213,00","221,00","207,75","6,39K","0,00%"
"25/07/2022","221,00","231,00","233,00","216,05","29,10K","-7,92%"
"22/07/2022","240,00","248,00","250,00","240,00","6,92K","-6,61%"
"21/07/2022","257,00","255,65","257,00","235,10","9,38K","0,53%"
